---------openMP start---------
set system threads = 8
diffChange is:inf
diffChange is:12.25782
diffChange is:0.25038
diffChange is:0.26195
diffChange is:1.28099
diffChange is:1.92604
diffChange is:1.05397
diffChange is:0.39678
diffChange is:0.21927
diffChange is:0.12824
diffChange is:0.04156
diffChange is:0.06735
diffChange is:0.02129
diffChange is:0.01483
diffChange is:0.04307
diffChange is:0.03088
diffChange is:0.01347
diffChange is:0.01164
diffChange is:0.02151
diffChange is:0.03887
diffChange is:0.02259
diffChange is:0.04111
diffChange is:0.01121
diffChange is:0.00250
diffChange is:0.01925
diffChange is:0.02548
diffChange is:0.00611
diffChange is:0.04642
diffChange is:0.02092
diffChange is:0.08395
diffChange is:0.05089
diffChange is:0.06315
diffChange is:0.02203
diffChange is:0.01970
diffChange is:0.05251
diffChange is:0.03380
diffChange is:0.05726
diffChange is:0.03981
diffChange is:0.05581
diffChange is:0.04525
diffChange is:0.02256
diffChange is:0.06521
diffChange is:0.02125
diffChange is:0.01532
diffChange is:0.02697
diffChange is:0.03715
diffChange is:0.01145
diffChange is:0.00718
diffChange is:0.00011
OpenMP time taken: 5.68s
